Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
STL,AA,2022.0,25.18,43.12,9.96,5.59,2.21,1.17,0.24,0.12,0.12,0.25,1.67,0.31,0.68,6.31,5.32,0.99,5.27
STL,AAA,2022.0,26.97,37.24,9.38,4.02,2.78,1.1,0.24,0.1,0.14,0.26,1.47,0.33,0.7,4.62,4.48,0.14,4.39
STL,CPX,2022.0,21.37,14.91,10.95,4.66,2.95,0.41,0.27,0.11,0.16,0.23,1.44,0.33,0.74,3.44,3.87,-0.43,3.91
STL,DSL,2022.0,18.33,26.74,9.75,7.1,2.21,0.6,0.23,0.15,0.08,0.25,1.77,0.34,0.66,5.15,5.39,-0.24,5.21
TBR,A,2022.0,22.19,36.01,10.36,4.71,3.59,0.57,0.26,0.11,0.15,0.22,1.36,0.3,0.67,3.89,4.18,-0.29,4.37
TBR,A+,2022.0,22.72,35.27,9.52,3.74,3.12,0.74,0.25,0.09,0.17,0.24,1.33,0.31,0.74,3.98,4.17,-0.19,4.46
TBR,AA,2022.0,24.03,37.82,9.67,4.18,2.99,1.38,0.25,0.1,0.15,0.24,1.39,0.29,0.72,4.9,5.13,-0.23,5.09
TBR,AAA,2022.0,27.32,22.97,9.1,3.55,3.41,1.43,0.24,0.09,0.15,0.25,1.45,0.31,0.66,5.22,4.87,0.34,4.78
TBR,CPX,2022.0,22.94,9.63,10.86,5.55,3.14,0.21,0.3,0.12,0.18,0.18,1.34,0.26,0.76,4.35,3.86,0.49,4.35
TBR,DSL,2022.0,18.8,20.33,8.77,8.32,1.6,0.64,0.2,0.18,0.02,0.25,1.86,0.31,0.63,6.02,5.99,0.03,5.72
TEX,A,2022.0,21.3,34.46,10.16,4.74,2.47,0.9,0.26,0.11,0.14,0.21,1.36,0.29,0.71,3.89,4.63,-0.74,4.65
TEX,A+,2022.0,22.91,35.06,9.64,5.08,2.65,1.18,0.24,0.11,0.13,0.23,1.47,0.28,0.7,4.66,5.37,-0.71,5.11
TEX,AA,2022.0,24.86,33.31,9.27,5.25,2.4,1.24,0.24,0.12,0.11,0.22,1.5,0.27,0.74,5.24,5.42,-0.18,5.47
TEX,AAA,2022.0,27.09,28.51,10.8,5.46,2.32,1.36,0.26,0.12,0.14,0.25,1.64,0.32,0.68,5.04,5.36,-0.33,5.37
TEX,CPX,2022.0,21.81,14.51,12.12,3.75,3.81,0.62,0.32,0.09,0.23,0.23,1.33,0.33,0.71,4.33,3.97,0.36,4.03
TEX,DSL,2022.0,19.38,14.43,9.16,10.61,2.04,0.61,0.23,0.15,0.08,0.23,2.25,0.3,0.67,9.25,6.67,2.57,6.61
TOR,A,2022.0,22.7,19.21,10.93,3.76,3.51,0.67,0.3,0.1,0.21,0.2,1.16,0.27,0.76,3.21,3.59,-0.38,3.69
