Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
MIL,AAA,2022.0,27.66,29.45,8.9,5.62,2.34,1.75,0.22,0.11,0.11,0.26,1.77,0.31,0.72,7.67,6.13,1.54,5.23
MIL,CPX,2022.0,21.12,14.45,11.0,5.13,2.94,0.66,0.28,0.11,0.17,0.24,1.58,0.34,0.68,5.65,4.86,0.79,4.89
MIL,DSL,2022.0,18.61,23.63,8.97,5.45,1.86,0.43,0.22,0.13,0.09,0.24,1.54,0.31,0.61,5.03,4.83,0.2,4.92
MIN,A,2022.0,23.54,27.02,10.63,3.88,3.11,0.95,0.29,0.09,0.2,0.21,1.29,0.27,0.72,4.14,3.99,0.15,3.78
MIN,A+,2022.0,23.91,35.36,10.03,4.13,3.39,1.02,0.26,0.1,0.16,0.24,1.42,0.31,0.7,4.37,4.22,0.15,4.19
MIN,AA,2022.0,25.72,33.02,9.34,5.45,2.38,1.14,0.24,0.12,0.11,0.25,1.68,0.31,0.71,5.76,5.27,0.49,5.36
MIN,AAA,2022.0,27.62,25.79,9.23,4.99,2.52,1.66,0.23,0.11,0.12,0.23,1.52,0.28,0.71,5.66,5.76,-0.1,5.09
MIN,CPX,2022.0,22.83,9.49,10.03,4.12,2.87,0.41,0.27,0.09,0.17,0.19,1.23,0.28,0.77,3.27,3.86,-0.59,4.28
MIN,DSL,2022.0,18.32,24.71,10.16,6.22,2.62,0.64,0.24,0.13,0.1,0.23,1.63,0.31,0.57,5.04,4.82,0.22,4.64
NYM,A,2022.0,23.09,18.83,11.59,5.08,3.18,0.49,0.3,0.12,0.18,0.22,1.42,0.33,0.72,4.25,3.63,0.61,4.0
NYM,A+,2022.0,23.79,29.3,9.71,4.02,3.02,0.72,0.25,0.1,0.15,0.22,1.27,0.29,0.74,3.69,4.07,-0.38,4.3
NYM,AA,2022.0,26.13,25.91,10.29,4.01,2.67,1.32,0.26,0.09,0.17,0.26,1.56,0.34,0.7,5.4,4.54,0.86,4.59
NYM,AAA,2022.0,27.96,25.99,8.99,4.75,2.56,1.33,0.23,0.11,0.12,0.26,1.59,0.31,0.68,5.67,5.19,0.47,5.1
NYM,CPX,2022.0,22.04,9.87,11.34,4.5,2.63,0.28,0.3,0.11,0.19,0.17,1.15,0.25,0.78,2.88,3.56,-0.68,3.84
NYM,DSL,2022.0,18.1,14.53,10.47,9.06,1.71,0.36,0.24,0.18,0.07,0.23,1.91,0.32,0.66,6.65,5.71,0.95,5.94
NYY,A,2022.0,23.19,29.15,11.41,4.39,2.63,0.74,0.3,0.1,0.2,0.22,1.37,0.31,0.72,4.45,3.83,0.62,3.73
NYY,A+,2022.0,23.62,35.01,10.22,4.58,3.05,0.58,0.28,0.12,0.16,0.2,1.26,0.27,0.72,3.65,3.98,-0.33,4.38
NYY,AA,2022.0,25.53,31.2,11.75,3.27,3.33,1.37,0.32,0.08,0.24,0.21,1.24,0.28,0.74,3.98,4.04,-0.06,3.69
NYY,AAA,2022.0,27.72,25.51,10.25,4.57,2.71,1.23,0.26,0.1,0.16,0.22,1.43,0.29,0.75,4.24,4.72,-0.48,4.71
NYY,CPX,2022.0,22.0,12.9,11.72,6.52,3.39,1.19,0.29,0.14,0.15,0.23,1.79,0.31,0.61,9.19,6.21,2.98,5.39
NYY,DSL,2022.0,18.88,20.93,10.32,7.68,2.31,0.61,0.25,0.15,0.1,0.22,1.73,0.3,0.58,6.71,5.7,1.01,5.2
