Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Javier Pena","LAD","DSL",17,41,0.04878049,0.29268293,0.16666667,0.15789474,0.19512195,0.15789474,0.35301669,0,5.056976224359624,0.22222222,0.20886984653770924,0.12761508272501937,-5.775003921524553,0.1830490478655187,2.1620077906628103,"sa3018953"
"Jose Noguera","BAL","DSL",17,92,0.10869565,0.32608696,0.33333333,0.15584416,0.27173913,0.18181818,0.45355731,0.02597402,3.1149506055599243,0.24489796,0.2255008032079786,5.289546877427202,-7.955354302840132,0.24996062724486642,39.9364767274197,"sa3018954"
"Natanael Castillo","LAD","DSL",17,89,0.12359551,0.20224719,0.61111111,0.17567568,0.30337079,0.2027027,0.50607349,0.02702702,3.316409537750739,0.22807018,-0.9886286703404039,7.1739574908027475,-5.63904473793413,0.2783963526232859,55.989668640758254,"sa3018955"
"Roman La Torre","MIL","DSL",17,76,0.09210526,0.14473684,0.63636364,0.20895522,0.30263158,0.28358209,0.58621367,0.07462687,1.601190455357143,0.25,0.019957148004323244,7.512693358801853,-3.4287467466363797,0.30084473443658727,68.66274719237198,"sa3018956"
"Miguel Dominguez","LAD","DSL",18,107,0.20560748,0.24299065,0.84615385,0.2345679,0.42056075,0.40740741,0.82796816,0.17283951,4.37087196980177,0.30769231,0.24102302943356335,20.704152599933423,5.299756662013804,0.41729543420755977,134.40418360688764,"sa3018957"
"Edgardo Reyes","MIL","DSL",17,91,0.10989011,0.30769231,0.35714286,0.14473684,0.28571429,0.15789474,0.44360903,0.0131579,2.5951512797539786,0.22916667,0.22771826409734786,5.676421691660837,-7.424513171429678,0.25596883925762803,43.32837122679784,"sa3018958"
"Nikau Pouaka-Grego","PHI","CPX",17,125,0.128,0.128,1,0.30097087,0.424,0.46601942,0.89001942,0.16504855,4.868631383599362,0.33333333,-0.6056165195768699,25.337883397303326,8.640338792763457,0.4301681208610535,151.74616386659775,"sa3018959"
"Ludwin Tejada","MIL","DSL",17,70,0.14285714,0.12857143,1.11111111,0.28333333,0.38571429,0.33333333,0.71904762,0.05,6.427120535777133,0.33333333,0.4277182670775801,10.756514539531347,0.6788723371540293,0.3682863073689597,106.73642032055754,"sa3018960"
"Neifi Vasquez","TBR","DSL",18,166,0.04819277,0.25903614,0.18604651,0.17532468,0.23493976,0.21428571,0.44922547,0.03896103,7.321050494864696,0.24324324,1.0376968500204384,7.077636372126977,-16.820772279224954,0.23167865032173066,29.615513214209752,"sa3018961"
"Francisco Nina","MIL","DSL",17,133,0.09022556,0.28571429,0.31578947,0.21186441,0.30075188,0.27118644,0.57193832,0.05932203,5.1353803490256915,0.30379747,0.022458649007603526,12.51407307772035,-6.633447106796557,0.29498753063660815,65.35610333415131,"sa3018962"
"Samuel Gil","DET","DSL",17,205,0.12195122,0.17560976,0.69444444,0.25988701,0.36097561,0.38983051,0.75080612,0.1299435,7.656327448192838,0.31654676,0.9561329209245741,31.95117700673779,2.4380819854899265,0.37098689370039034,108.2610176388977,"sa3018963"
"Jesus Peraza","MIN","DSL",17,76,0.07894737,0.31578947,0.25,0.24615385,0.34210526,0.27692308,0.61902834,0.03076923,2.9215330398708423,0.38095238,-0.8979108575731516,8.911335198479852,-2.0301049069583796,0.3234877853017104,81.44572480957642,"sa3018964"
"Alen Pineda","ATL","DSL",17,106,0.20754717,0.19811321,1.04761905,0.10526316,0.3490566,0.13157895,0.48063555,0.02631579,3.487846335159971,0.14285714,0.43880557152442634,10.484861789316327,-4.7755678314264705,0.30092171003233714,68.7062032320816,"sa3018965"
"Gilberto Rojas","CIN","DSL",17,52,0.13461538,0.15384615,0.875,0.22222222,0.32692308,0.24444444,0.57136752,0.02222222,0.9884453928571431,0.27027027,0.017739687114953995,5.261270944467638,-2.2249775487269416,0.30370791944173664,70.27913846635506,"sa3018966"
"Juan Oviedo","CHW","DSL",18,59,0.22033898,0.18644068,1.18181818,0.2826087,0.44067797,0.32608696,0.76676493,0.04347826,2.329059558990938,0.37142857,-0.9897374007850885,10.822570369435113,2.3285576560028,0.40491360223899453,127.41410608345869,"sa3018967"
