Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2022,"Juan Minaya","WSN","AAA",31,8.2,6.230766945337535,6.230766945337535,1,2.076922315112512,0.16666667,0.16666667,0,0.16666667,1.2692303036798684,0.13636364,0.85365854,3.1153834726687677,7.199944029475602,-4.084560556806834,5.917335707747747,"10341"
2022,"","TEX","DSL",,4.1,2.0769246005458837,2.0769246005458837,1,0,0.07692308,0.07692308,0,0.16666667,0.6923082001819612,0.18181818,1,0,4.043852285802841,-4.043852285802841,,"sa3018373"
2022,"Luis Meza","TOR","DSL",17,2.1,7.7142970124235,3.85714850621175,2,0,0.15384615,0.07692308,0.07692307,0.5,3.00000439372025,0.6,0.42857143,15.428594024847,3.384510829496438,12.044083195350561,,"sa3018423"
2022,"","NYM","DSL",19,1.1,13.500033393584838,0,2,0,0.5,0,0.5,0.25,0.7500018551991576,0.5,1,0,0.8130754649455572,-0.8130754649455572,,"sa3019196"
2022,"Juan Minaya","MIN","AAA",31,40,8.1,4.5,1.8,1.35,0.19251337,0.10695187,0.0855615,0.2611465,1.525,0.30434783,0.60702875,6.975,5.907637691497802,1.0673623085021973,5.570077214390039,"10341"
2022,"Robbie Erlin","LAD","AAA",31,77,8.064935064935066,4.090909090909091,1.97142857,1.6363636363636365,0.19060773,0.09668508,0.09392265,0.29320988,1.6883116883116882,0.33609959,0.61728395,7.012987012987013,5.907240562934381,1.1057464500526324,6.041434680215724,"10354"
2022,"Mychal Givens","NYM","AAA",32,1,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,0,-0.4923623085021971,0.4923623085021971,-0.4923623085021971,"10430"
2022,"Jake Petricka","MIN","AAA",34,23.2,8.366196059348407,3.04225311249033,2.75,0.38028163906129125,0.20754717,0.0754717,0.13207547,0.25,1.3521124944401466,0.31506849,0.67484663,4.183098029674204,3.4653841760465482,0.7177138536276555,3.6148704064083486,"10534"
2022,"","TEX","DSL",22,1,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,0,1.8130828857421877,-1.8130828857421877,,"sa3019197"
2022,"Wilkerson Hernandez","LAD","DSL",18,1,9,0,1,9,0.2,0,0.2,0.4,2,0.33333333,0,18,14.813082885742187,3.186917114257813,,"sa3019517"
2022,"Sean Harney","TBR","CPX",23,1,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,0,-0.17471580505371076,0.17471580505371076,,"sa3020472"
2022,"Scott Alexander","SFG","AAA",32,7.2,9.391300453807808,4.695650226903904,2,0,0.2962963,0.14814815,0.14814815,0.08695652,0.7826083711506507,0.13333333,1,0,3.3335535968858947,-3.3335535968858947,4.917989116825599,"10591"
2022,"Scott Alexander","SFG","CPX",32,3,12,0,4,0,0.36363636,0,0.36363636,0.27272727,1,0.42857143,1,0,1.5933122952779137,-1.5933122952779137,1.5933122952779137,"10591"
2022,"Scott Alexander","SFG","A",32,3,3,0,1,0,0.07692308,0,0.07692308,0.25,1,0.27272727,0.75,3,4.481652291615804,-1.481652291615804,5.859887832899888,"10591"
2022,"Chris Sale","BOS","CPX",33,3.2,17.181802168380276,2.4545431669114683,7,0,0.41176471,0.05882353,0.35294118,0.26666667,1.3636350927285934,0.5,0.83333333,2.4545431669114683,1.6434680465805398,0.8110751203309285,2.14448428992566,"10603"
2022,"Braxton Hyde","COL","CPX",21,1,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,0,2.2599789619445803,-2.2599789619445803,,"sa3020612"
2022,"Harol Gonzalez","NYM","CPX",27,1,9,0,1,0,0.25,0,0.25,0,0,0,1,0,1.8252841949462892,-1.8252841949462892,,"sa828505"
2022,"Jordan Balazovic","MIN","A",23,2,4.5,9,0.5,4.5,0.07692308,0.15384615,-0.07692307,0.4,3,0.375,0.53571429,18,13.520458889007568,4.479541110992432,,"sa918017"
2022,"Chris Sale","BOS","AAA",33,3.2,12.27271583455734,12.27271583455734,1,0,0.27777778,0.27777778,0,0.23076923,2.1818161483657494,0.375,0.875,2.4545431669114683,4.871272784226396,-2.4167296173149277,5.773336012254459,"10603"
